"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"Q"	"1"	"Bacalah teks di bawah ini dengan teliti. 
Ani : “Bisa bicara sebentar, Pak?” 
Pak Rino : “Ada apa, ya?” 
Ani : “Begini, Pak. Saya, „kan, sudah cukup lama lama bekerja di perusahaan ini. {….}” 
Pak Rino : “Memang kamu sudah berapa tahun di sini?” 
Ani : “Masa Bapak lupa? Saya sudah sekitar tiga tahun di sini dan sejak masuk belum pernah mengalami kenaikan gaji.” 

Pernyataan yang tepat untuk mengisi bagian rumpang pada teks negosiasi di atas adalah …&nbsp;"	""	"S"	"1"	"3"	"0"	"0"	"0"	"0"
"A"	"1"	"Boleh saya meminta kenaikan gaji?"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Kapan saya mendapat gaji?"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Boleh saya meminta uang gajian lebih dulu?"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Apakah saya akan mendapatkan gaji?"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Apakah boleh saya meminjam uang pada Bapak?"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah puisi di bawah ini dengan saksama. Sajak Rajawali sebuah sangkar besi tidak bisa mengubah rajawali menjadi seekor burung nuri rajawali adalah pacar langit dan di dalam sangkar besi rajawali merasa pasti bahwa langit akan selalu menanti W. S. Rendra langit tanpa rajawali adalah keluasan dan kebebasan tanpa sukma tujuh langit, tujuh rajawali tujuh cakrawala, tujuh pengembara rajawali terbang tinggi memasuki sepi memandang dunia rajawali di sangkar besi duduk bertapa mengolah hidupnya 
hidup adalah merjan-merjan kemungkinan
yang terjadi dari keringat matahari
tanpa kemantapan hati rajawali
mata kita hanya melihat fatamorgana
rajawali terbang tinggi
membela langit dengan setia
dan ia akan mematuk kedua matamu
wahai, kamu, pencemar langit yang durhaka
Kata fatamorgana pada bait kelima puisi tersebut mempunyai makna lambang ....&nbsp;"	""	"S"	"1"	"4"	"0"	"0"	"0"	"0"
"A"	"1"	"senja"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"kenyataan"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"ilusi"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"kenangan"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"perasaan manusia"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermati teks berikut ini. Virus Covid-19 sedang mewabah di wilayah kita. Banyak orang terjangkit virus Covid-19 ini. Untuk mencegahnya, kita perlu menerapkan protokol kesehatan dengan ketat. Protokol kesehatan yang harus diterapkan antara lain mencuci tangan dan memakai masker. Sinonim kata terjangkiti pada paragraf tersebut adalah ….&nbsp;"	""	"S"	"1"	"5"	"0"	"0"	"0"	"0"
"A"	"1"	"tertulari"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"terinfeksi"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"terdampak"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"terkontaminasi"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"terpapar"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermati teks berikut. Bioteknologi diartikan sebagai kajian ilmu terapan yang konsen terhadap rangkaian proses biologis dalam rangka menghasilkan barang dan jasa yang menerapkan prinsip sains. Perkembangan bioteknologi tak hanya didasarkan pada cabang keilmuan biologi saja, namun juga pada disiplin ilmu terapan lainnya semisal biologi molekul, computer, genetik, mikrobiologi, dan lain-lain. Penulisan kata baku yang benar untuk kata bercetak miring pada teks di atas adalah...&nbsp;"	""	"S"	"1"	"6"	"0"	"0"	"0"	"0"
"A"	"1"	"molekul, komputer, genetik, mikrobiologi"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"molekuler, komputer, genetika, mikrobiologi"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"molekuler, computer, genetik, mikrobiologi"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"molekul, komputer, genetika, mikrobiologis"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"molekuler, computer, genetika, mikrobiologi"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermatilah penggalan ceramah di bawah ini. “Sebagai kesimpulan jadilah manusia yang terpelajar dan sebagai orang yang belajar atau sebagai pendengar ilmu dan orang yang mencintai ilmu dan janganlah kamu menjadi orang yang kelima yang hasilnya adalah kamu dalam rugi dan kerugian, karena hidup itu seperti roda berputar, kadang di atas, kadang pula di bawah.” Pernyataan yang mengandung majas alegori adalah ….&nbsp;"	""	"S"	"1"	"7"	"0"	"0"	"0"	"0"
"A"	"1"	"jadilah manusia yang terpelajar"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"sebagai orang yang belajar"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"sebagai pendengar ilmu"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"kamu dalam rugi dan kerugian"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"hidup itu seperti roda berputar, kadang di atas, kadang pula di bawah"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah paragraf di bawah ini dengan cermat. Korban virus Covid 19 di Indonesia terus bertambah seiring dengan meningkatnya mobilitas masyarakat saat hari raya Idul Fitri dan Idul Adha. Pemerintah terus berupaya menekan laju mobilitas masyarakat dengan melakukan banyak pembatasan dan penyekatan. Ide pokok paragraf yang dapat ditemukan dari informasi di atas adalah ...&nbsp;"	""	"S"	"1"	"8"	"0"	"0"	"0"	"0"
"A"	"1"	"Meningkatnya virus Covid 19 saat hari raya Idul Fitri dan Idul Adha"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Pencegahan penyebaran virus Covid 19 saat hari raya Idul Fitri dan Idul Adha."	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Bertambahnya korban virus Covid 19 di Indonesia akibat peningkatan mobilitas penduduk."	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Usaha pemerintah untuk mencegah penyebaran virus Covid 19 dengan membuat berbagai pembatasan"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Banyaknya masyarakat yang menyepelekan bahaya virus Covid 19."	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Perhatikan kutipan teks berikut. Penguasaan yang mendalam mengenai bahasa merupakan tolok ukur keberhasilan seorang wartawan. Kemahiran berbahasa wartawan akan memudahkannya memanipulasi bahasa sesuai dengan tujuan yang ingin dicapainya. Pilihan kata yang dapat membangkitkan emosi pembaca. Sebaliknya, pilihan kata yang ceroboh dapat menimbulkan reaksi yang tidak diharapkan. Simpulana isi teks tersebut adalah…&nbsp;"	""	"S"	"1"	"9"	"0"	"0"	"0"	"0"
"A"	"1"	"wartawan memang menguasai bahasa"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"wartawan pandai mengolah bahasa"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"wartawan harus terampil mengolah bahasa"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"wartawan pintar memanipulasi bahasa"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"wartawan pintar berbahasa"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah kutipan teks berikut. Menggunakan masker pada saat pandemi COVID-19 merupakan hal yang wajib dipakai terutama ketika bepergian keluar rumah. Masker menjadi hal yang esensial karena mampu menangkal virus ataupun bakteri yang akan masuk ke mulut ataupun hidung seseorang. Dokter Budi mengingatkan bahwa menggunakan masker penting karena merupakan penghalang atau barrier agar ludah atau cipratan terhalangi ketika sedang mengobrol, batuk, atau bersin. Serta sebagai cara untuk melindungi diri sendiri dan orang lain terutama kelompok rentan agar tidak tertular COVID-19. “Jadi, misalkan kalau kita tidak pakai masker semuanya bisa menyembur. Kalau kita pakai masker semuanya terhalangi. Walaupun anak muda tidak ada gejala yang muncul tapi tetap kita harus melindungi orang lain dan lingkungan kita, apalagi kelompok rentan. Jadi, salah satu pencegahannya penularan itu tetap harus menggunakan masker, walaupun kita tidak ada gejala,” jelasnya. Kalimat tanya yang sesuai dengan kutipan teks di atas adalah …&nbsp;"	""	"S"	"1"	"10"	"0"	"0"	"0"	"0"
"A"	"1"	"Apakah yang dimaksud dengan pandemi COVID-19?"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Mengapa kita wajib menggunakan masker saat pandemi COVID-19?"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Bagaimana cara menangkal virus ataupun bakteri yang masuk ke mulut ataupun hidung seseorang?"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Bagaimana jika kita tidak memakai masker?"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Bagaimana cara penyebaran COVID-19?"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermati kedua teks berikut.Teks 1 Ozone therapy adalah pengobatan suatu penyakit dengan cara memasukan oksigen murni dan ozon berenergi tinggi ke dalam tubuh melalui darah. Ozone therapy merupakan terapi yang sangat bermanfaat bagi kesehatan, baik untuk penyembuhan penyakit yang kita derita maupun sebagai pencegah penyakit. Teks 2 Sebenarnya, kondisi ekonomi kita sudah relatif membaik. Indikatornya dapat dilihat dari berbagai aspek. Misalnya, dalam bidang otomotif. Setiap hari kita temukan aneka kendaraan meintas di jalan raya. Sepeda motor baru, mobil pun baru. Ini menandakan bahwa taraf hidup masyarakat mulai membaik. Indikator lain seperti daya beli masyarakat akan kebutuhan sandang, pangan, dan papan. Dalam bidang papan, misalnya, banyak warga masyarakat yang membangun tempat tinggal yang permanen. Dari kedua teks di atas menggunakan pola pengembangan …&nbsp;"	""	"S"	"1"	"11"	"0"	"0"	"0"	"0"
"A"	"1"	"Pola pengembangan proses dan pola pengembangan ilustrasi"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Pola pengembangan definisi dan pola pengembangan ilustrasi"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Pola pengembangan perbandingan dan pola pengembangan analogi"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Pola pengembangan pertentangan dan pola pengembangan klarifikasi"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Pola pengembangan sebab-akibat dan pola pengembangan umum-khusus"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermati teks biografi berikut. Tesla banyak mengalami kegagalan dalam hidupnya. Perusahaan pertama yang coba dibuatnya yaitu Tesla Electric Light Company gagal, membuatnya harus menghentikan riset dan bekerja sebagai buruh untuk bertahan hidup. Kegagalan tidak menghentikannya, Tesla terus belajar dan mengembangkan pikiran-pikiran baru yang belum terpikirkan pada zaman itu. Kegigihan dan kejeniusannya membuat Tesla menemukan arus listrik bolak-balik, radio, teknologi radar, sinar-X, Tesla coil, dan kendali jarak jauh. Sikap keteladanan tokoh dalam teks biografi singkat Nikola Tesla tersebut adalah…&nbsp;"	""	"S"	"1"	"12"	"0"	"0"	"0"	"0"
"A"	"1"	"Karena jenius, Tesla berhenti belajar."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Ia tidak gigih dalam memperjuangkan tujuan"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Tidak putus asa karena gagal."	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Mementingkan hidup dengan kekayaan berlimpah."	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Tesla tidak mendedikasikan hidupnya untuk kemajuan ilmu pengetahuan."	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah kutipan teks cerita sejarah berikut ini. Pagi itu, pagi kedua setelah Ken Ndok menghilang. Maharesi tegak di depan pondoknya menatap gerakan sang mentari. Air mukanya terlihat murung. Hampir semalaman ia sulit memejamkan mata. Ia masih berharap istrinya kembali. Namun, hingga pagi menjelang, harapannya tidak menyisakan apa pun selain ranjang kayu yang dingin dan kosong. Maharesi menghembuskan napas panjang. Mulutnya berkemik. Apa pun yang terjadi, seharusnya Rayi tidak meninggalkan pondok. Aku bersedia menerima kenyataan apa pun. Sang Dewata Agung telah menetapkan keinginan-Nya. Aku harus selalu patuh. Itulah alasan mengapa aku tidak menyentuhmu, Rayi. Tapi aku bukan laki-laki kuat yang berani mengatakan apa adanya. Suasana yang tepat untuk menggambarkan hati Maharesi adalah ...&nbsp;"	""	"S"	"1"	"13"	"0"	"0"	"0"	"0"
"A"	"1"	"sedih"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"senang"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"bahagia"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"takut"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"benci"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah dengan cermat penggalan teks berikut. Ardi dan para relawan bergegas menyiapkan barak untuk para pengungsi. Tenda, tikar, dan lampu penerangan segera dia pasang. Tak lupa dapur umum juga dia siapkan. Obat-obatan, selimut, dan pos kesehatan pun telah didirikannya. Lapangan desa yang siang tadi masih lengang kini telah berubah drastis. Hiruk pikuk para relawan bertambah ramai dengan kedatangan para pengungsi. Mereka telah meninggalkan rumah di lereng gunung. Kesehatan jiwa lebih mereka utamakan. Watak Ardi pada cerita tersebut adalah ….&nbsp;"	""	"S"	"1"	"14"	"0"	"0"	"0"	"0"
"A"	"1"	"pandai"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"cekatan"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"sabar"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"disiplin"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"ceria"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah penggalan drama di bawah ini. Tina : “Tuhan menakdirkan semua nasib manusia. Kita hanya menjalani.” Ibu : “Nah, pikiran begitu itulah yang tak kusuka. Kau sudah ditakdirkan Tuhan punya suami buta, tak adakah niatmu, tidak adakah usahamu untuk mengubah takdir itu? Sebab takdir itu baru jatuh setelah manusia berusaha. Tina, kau bukan anakku jika kau tidak berani melawan takdir yang pahit.” Tina : “Aku sudah berusaha. Abas juga sudah. Aku sudah berusaha, dan inilah hasilnya. Kami dapat membelanjai diri untuk hidup sehari-hari.” Konflik yang terjadi antara Tina dan Ibu adalah ....&nbsp;"	""	"S"	"1"	"15"	"0"	"0"	"0"	"0"
"A"	"1"	"perbedaan pandangan mengenai takdir"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"usaha melawan takdir"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"nasib merupakan takdir"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"perbedaan takdir manusia"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"pasrah menjalani takdir"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah kutipan teks cerita sejarah secara saksama. Raden Ajeng Kartini atau yang kita kenal dengan Ibu Kartini, dia adalah salah seorang keturunan keluarga terpandang yang lahir pada 21 April 1879. Keluarganya mewariskan suatu hal, yaitu pendidikan. Beliau pernah duduk di bangku sekolah dasar sampai tamat sekolah sekolah dasar. Beliau tidak pernah puas akan ilmu pengetahuan dan membuat beliau ingin melanjutkan ke jenjang yang lebih tinggi. Namun, ayahnya tidak sependapat dengan beliau untuk melanjutkan pendidikanya. Tahu sikap ayahnya seperti itu, beliau sedih tidak bisa mengubah keputusan tersebut. (https://www.bola.com/ragam/read) Nilai yang terkandung dalam kutipan teks cerita sejarah tersebut adalah ...&nbsp;"	""	"S"	"1"	"16"	"0"	"0"	"0"	"0"
"A"	"1"	"nilai sosial"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"nilai agama"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"nilai moral"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"nilai pendidikan"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"nilai budaya"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermati penggalan teks berikut. Cerita hikayat Hatta datanglah kesembilan orang anak raja meminta susu kambing yang disangkanya susu harimau beranak muda itu. Indera Bangsawan berkata susu itu tidak akan dijual dan hanya akan diberikan kepada orang yang menyediakan pahanya diselit besi hangat. Maka anak raja yang sembilan orang itu pun menyingsingkan kainnya untuk diselit Indera Bangsawan dengan besi panas. Cerpen Awalnya aku mau berteman dengan siapa saja, namun setelah mengetahui kelebihanku, aku mulai memilih teman yang bisa dekat denganku. Apalagi dengan otakku yang pandai, semakin banyak teman yang menyukaiku. Maka, aku pun mulai memilih teman dari golongan menengah ke atas. Aku tidak mau lagi berteman dengan anak yang setara padaku. (Kutipan Cerpen “Penyesalanku“ karya Dian Indria A.) (Sumber http://sekolahbagiilmu.blogspot.com/2017/12/12-nilai-kehidupan-dalamcerpennovel.html) Persamaan nilai yang terkandung dari kedua teks di atas adalah...&nbsp;"	""	"S"	"1"	"17"	"0"	"0"	"0"	"0"
"A"	"1"	"nilai sosial"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"nilai moral"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"nilai agama"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"nilai edukasi"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"nilai budaya"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermati kalimat di bawah ini. 1. Oleh sebab warga jarang keluar rumah, pedagang kaki lima sepi pelanggan. 2. Bahkan beberapa dari mereka tidak dapat berjualan karena dilarang oleh pemerintah setempat. 3. Mulai dari wisata, transportasi, perekonomian negara, sampai pedagang kaki lima. 4. Semenjak aturan karantina atau Pembatasan Sosial Berskala Besar (PSBB), semua warga dianjurkan untuk membatasi intensitas keluar rumah. 5. Covid-19 menyebabkan kerugian pada berbagai sektor. (sumber: https://www.kompas.com/skola) Urutkan kalimat di atas menjadi paragraf eksplanasi yang padu adalah...&nbsp;"	""	"S"	"1"	"18"	"0"	"0"	"0"	"0"
"A"	"1"	"1, 2, 3, 4, 5"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"5, 3, 4, 1, 2"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"1, 2, 5, 4, 3"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"5, 4, 3, 2, 1"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"4, 3, 2, 1, 5"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Cermati penggalan surat lamaran pekerjaan dengan saksama. Yth. HRD Bapak/Ibu Personalia PT Blemcoss Jalan sudirman 30 Jakarta Dengan Hormat Saya yang bertanda tangan di bawah ini nama : Angga Yuda tempat, tanggal lahir : Jakarta,07 april 1987 alamat : Cempaka Putih Rt 007/02 Nomor 25 Jakarta Pusat, 10510 no.telepon : (021) 4812482 / 081225138938 ................................................................................................................................................sa ya bermaksud mengajukan surat lamaran kerja agar dapat diterima bekerja di tempat yang Bapak /Ibu pimpin sebagai Divisi Regional. (sumber: https://money.kompas.com/read/) Kalimat pembuka yang tepat untuk melengkapi bagian yang rumpang adalah...&nbsp;"	""	"S"	"1"	"19"	"0"	"0"	"0"	"0"
"A"	"1"	"Sehubungan dengan adanya penerimaan karyawan di perusahaan yang Bapak/Ibu pimpin"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Sehubungan dengan adanya penerimaan karyawan di perusahaan yang di pimpin Bapak / Ibu"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Sehubungan dengan adanya penerimaan di perusahaan yang Bapak / Ibu pimpin"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Sehubungan dengan adanya penerimaan karyawan di perusahaan yang Bapak/Ibu, oleh karena itu"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Sehubungan dengan adanya penerimaan karyawan di perusahaan yang di pimpin Bapak / Ibu, oleh karena it"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah kutipan teks eksposisi di bawah ini.
Pembangunan dan Bencana Lingkungan
Bencana alam yang menimbulkan jumlah korban banyak terjadi karena praktik
pembangunan yang dilakukan tanpa memerhatikan potensi bencana. Misalnya, banjir yang
terjadi di Jakarta pada Februari 2021, dapat dipahami sebagai dampak pembagunan kota
yang mengabaikan pelestarian lingkungan.
Menurut tim ahli Pusat Penelitian dan Pengembangan Sumber Daya Air, penyebab
utama banjir di Jakarta ialah pembangunan kota yang mengabaikan fungsi daerah resapan
air dan tampungan air. Hal ini diperparah dengan saluran drainase kota yang tidak
terencana dan tidak terawat serta tumpukan sampah dan limbah di sungai. Akhirnya, debit
air hujan yang tinggi menyebabkan bencana banjir yang tidak terelakkan.
Masalah lingkungan di atas merupakan masalah serius yang harus segera diatasi.
Meskipun tidak mungkin mengatasi keenam masalah utama lingkungan tersebut,
setidaknya harus dicari solusi untuk mencegah bertambah buruknya kondisi bumi.
Argumentasi yang mendukung pendapat yang disampaikan penulis bahwa masalah
lingkungan merupakan masalah yang serius terdapat pada kalimat …
&nbsp;"	""	"S"	"1"	"20"	"0"	"0"	"0"	"0"
"A"	"1"	"Bencana alam yang menimbulkan jumlah korban banyak terjadi karena praktik pembangunan yang dilakukan tanpa memerhatikan potensi bencana"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Akhirnya, debit air hujan yang tinggi menyebabkan bencana banjir yang tidak terelakkan."	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Setidaknya harus dicari solusi untuk mencegah bertambah buruknya kondisi bumi."	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Misalnya, banjir yang terjadi di Jakarta pada Februari 2021, dapat dipahami sebagai dampak pembagunan kota yang mengabaikan pelestarian lingkungan"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"Masalah lingkungan di atas merupakan masalah serius yang harus segera diatasi."	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Perhatikan judul karya ilmiah berikut. Aktivitas Pergaulan dan Prestasi Belajar Siswa (Studi Deskriptif tentang Kecerdasan Emosi dan Intelektual) Siswa SMK Labschool UPI Bandung Berdasarkan judul karya ilmiah di atas dapat diketahui kerangka yang tepat yaitu ….&nbsp;"	""	"S"	"1"	"21"	"0"	"0"	"0"	"0"
"A"	"1"	"Masalah yang diteliti, ruang lingkup penelitian, tujuan penelitian, subjek penelitian, dan metode penelitian"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Masalah yang diteliti, tujuan peneliti dan metode penelitian"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Metode penelitian, dan tujuan penelitian"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Rumusan masalah, hasil penelitian, kesimpulan dan saran"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Subjek penelitian, menginterpretasikan isi, analisis, kesimpulan dan saran"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah kutipan puisi berikut dengan saksama. Menyesal Pagiku hilang sudah melayang Hari mudaku sudah pergi ..... Batang usiaku sudah tinggi Aku lalai di pagi hari (Karya : A. Hasymi) Larik bermajas yang tepat untuk melengkapi puisi tersebut adalah ....&nbsp;"	""	"S"	"1"	"22"	"0"	"0"	"0"	"0"
"A"	"1"	"Sekarang aku sudah tua"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Kini hari sudah petang"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Sekarang petang datang membayang"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Kini sore sudah menjelang"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Hari kini telah petang"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Bacalah dialog berikut ini dengan saksama. Pak RT : &quot;Wah, Pak Juri dan Pak Yus sedang asyik membicarakan apa?&quot; Pak Juri : &quot;Begini, Pak RT. Kami sedang membicarakan kenaikan harga elpiji. Pendapatan kami tidak ada artinya sekarang ini karena harga barang naik semua.&quot; Pak RT : “Oh begitu! Tenang saja bapak-bapak. Pemerintah pasti mempunyai cara untuk menyejahterakan rakyatnya.&quot; Pak Yus : &quot;Tadi kami juga berpikir begitu. Tapi, program pemerintah apakah akan berhasil?&quot; Pak RT : &quot; …. &quot; Pak Juri : “Baiklah mudah-mudahan kebijakan ini akan berdampak baik bagi negara dan bangsa kita. Aamiin.&quot; Kalimat yang tepat untuk melengkapi dialog tersebut adalah ....&nbsp;"	""	"S"	"1"	"23"	"0"	"0"	"0"	"0"
"A"	"1"	"Sebagai rakyat, kita perlu mendukung program pemerintah. Kalau kita percaya dan sabar, mudah-mudahan negara kita sejahtera."	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Saya tidak percaya program ini akan diterima baik oleh masyarakat. Apa bapak juga setuju dengan kebijakan pemerintah?"	""	"0"	"2"	""	""	""	""	""
